Region,Confirmed,Recovered,Deceased
Afghanistan,147154.0,82586.0,6708.0
Albania,133081.0,130222.0,2457.0
Algeria,171392.0,115276.0,4254.0
Andorra,14678.0,14210.0,128.0
Angola,42777.0,37255.0,1011.0
Antigua and Barbuda,1303.0,1235.0,43.0
Argentina,4929764.0,4569552.0,105721.0
Armenia,230110.0,219864.0,4614.0
Australia,34383.0,24093.0,924.0
Austria,659056.0,643027.0,10737.0
Azerbaijan,343849.0,332926.0,5023.0
Bahamas,14840.0,12606.0,287.0
Bahrain,269186.0,266796.0,1384.0
Bangladesh,1249484.0,1078212.0,20685.0
Barbados,4390.0,4229.0,48.0
Belarus,446040.0,440200.0,3454.0
Belgium,1124715.0,31130.0,25241.0
Belize,14163.0,13420.0,337.0
Benin,8394.0,8136.0,108.0
Bhutan,2515.0,2374.0,2.0
Bolivia,473506.0,407932.0,17821.0
Bosnia and Herzegovina,205655.0,189369.0,9687.0
Botswana,106690.0,95323.0,1569.0
Brazil,19917855.0,17771228.0,556370.0
Brunei,337.0,280.0,3.0
Bulgaria,425054.0,398545.0,18213.0
Burkina Faso,13573.0,13369.0,169.0
Burma,299185.0,209512.0,9334.0
Burundi,7080.0,773.0,9.0
Cabo Verde,33791.0,33011.0,298.0
Cambodia,77243.0,69996.0,1397.0
Cameroon,82064.0,35261.0,1334.0
Canada,1438457.0,1404107.0,26599.0
Central African Republic,7151.0,6859.0,98.0
Chad,4973.0,4792.0,174.0
Chile,1615771.0,1570492.0,35448.0
China,105050.0,99119.0,4848.0
Colombia,4785320.0,4578519.0,120723.0
Comoros,4028.0,3865.0,147.0
Congo (Brazzaville),13186.0,12421.0,178.0
Congo (Kinshasa),49917.0,29994.0,1038.0
Costa Rica,406814.0,329639.0,5030.0
Cote d'Ivoire,50135.0,49261.0,329.0
Croatia,363615.0,354238.0,8259.0
Cuba,384596.0,338968.0,2758.0
Cyprus,102926.0,39061.0,420.0
Czech Republic,1673576.0,1640314.0,30373.0
Denmark,317909.0,304203.0,2551.0
Diamond Princess,712.0,699.0,13.0
Djibouti,11651.0,11490.0,156.0
Dominica,210.0,200.0,0.0
Dominican Republic,341905.0,323333.0,3963.0
Ecuador,487372.0,443880.0,31631.0
Egypt,284262.0,230368.0,16524.0
El Salvador,86620.0,76265.0,2629.0
Equatorial Guinea,8880.0,8637.0,123.0
Eritrea,6547.0,6444.0,35.0
Estonia,133557.0,128898.0,1272.0
Eswatini,25979.0,20918.0,787.0
Ethiopia,280365.0,263500.0,4385.0
Fiji,29781.0,7705.0,238.0
Finland,106802.0,46000.0,984.0
France,6190621.0,413170.0,112061.0
Gabon,25384.0,25166.0,164.0
Gambia,7709.0,6600.0,212.0
Georgia,419534.0,382393.0,5820.0
Germany,3776724.0,3653150.0,91666.0
Ghana,103019.0,97213.0,823.0
Greece,493304.0,93764.0,12965.0
Grenada,164.0,161.0,1.0
Guatemala,368484.0,321832.0,10339.0
Guinea,25688.0,24148.0,220.0
Guinea-Bissau,4479.0,3929.0,76.0
Guyana,22523.0,21183.0,541.0
Haiti,20077.0,12961.0,545.0
Vatican City,27.0,27.0,0.0
Honduras,297111.0,100697.0,7834.0
Hungary,809491.0,748157.0,30026.0
Iceland,7959.0,6716.0,30.0
India,31655824.0,30820521.0,424351.0
Indonesia,3409658.0,2770092.0,94119.0
Iran,3871008.0,3367272.0,90630.0
Iraq,1626599.0,1464273.0,18657.0
Ireland,300976.0,23364.0,5035.0
Israel,874018.0,849013.0,6473.0
Italy,4350028.0,4134680.0,128063.0
Jamaica,52895.0,46979.0,1190.0
Japan,927058.0,834811.0,15206.0
Jordan,770712.0,750518.0,10032.0
Kazakhstan,633469.0,527894.0,9077.0
Kenya,203213.0,188936.0,3931.0
Kiribati,2.0,0.0,0.0
South Korea,199787.0,175674.0,2098.0
Kosovo,108365.0,105657.0,2269.0
Kuwait,397831.0,384062.0,2320.0
Kyrgyzstan,162892.0,144564.0,2325.0
Laos,6299.0,2804.0,7.0
Latvia,138863.0,135583.0,2556.0
Lebanon,561380.0,537111.0,7906.0
Lesotho,12908.0,6649.0,374.0
Liberia,5404.0,2715.0,148.0
Libya,249114.0,190978.0,3509.0
Liechtenstein,3187.0,3009.0,58.0
Lithuania,282818.0,269309.0,4415.0
Luxembourg,73870.0,71867.0,822.0
MS Zaandam,9.0,7.0,2.0
Madagascar,42663.0,41143.0,943.0
Malawi,52347.0,38005.0,1635.0
Malaysia,1113272.0,914637.0,9024.0
Maldives,77432.0,74598.0,221.0
Mali,14584.0,13945.0,532.0
Malta,34295.0,31629.0,423.0
Marshall Islands,4.0,4.0,0.0
Mauritania,25691.0,22228.0,562.0
Mauritius,3913.0,1854.0,19.0
Mexico,2848252.0,2215884.0,240906.0
Micronesia,1.0,1.0,0.0
Moldova,259478.0,252051.0,6255.0
Monaco,2889.0,2707.0,33.0
Mongolia,164155.0,164829.0,815.0
Montenegro,101927.0,98971.0,1630.0
Morocco,623528.0,561930.0,9785.0
Mozambique,122028.0,88380.0,1434.0
Namibia,118922.0,95250.0,3044.0
Nepal,695389.0,654177.0,9857.0
Netherlands,1895343.0,28329.0,18114.0
New Zealand,2874.0,2811.0,26.0
Nicaragua,9470.0,4225.0,195.0
Niger,5623.0,5342.0,195.0
Nigeria,173908.0,164994.0,2149.0
North Macedonia,156380.0,150362.0,5493.0
Norway,137627.0,17998.0,799.0
Oman,295857.0,278195.0,3814.0
Pakistan,1034837.0,941659.0,23422.0
Panama,435655.0,416263.0,6823.0
Papua New Guinea,17717.0,17324.0,192.0
Paraguay,452388.0,420031.0,14981.0
Peru,2111393.0,2078316.0,196353.0
Philippines,1588965.0,1500189.0,27889.0
Poland,2882939.0,2653700.0,75261.0
Portugal,968631.0,902014.0,17361.0
Qatar,226239.0,223732.0,601.0
Romania,1083189.0,1047723.0,34281.0
Russia,6185249.0,5539787.0,155952.0
Rwanda,70698.0,44837.0,808.0
Saint Kitts and Nevis,593.0,544.0,3.0
Saint Lucia,5610.0,5377.0,89.0
Saint Vincent and the Grenadines,2291.0,2229.0,12.0
Samoa,3.0,3.0,0.0
San Marino,5143.0,5005.0,90.0
Sao Tome and Principe,2454.0,2358.0,37.0
Saudi Arabia,525730.0,506089.0,8237.0
Senegal,62290.0,47136.0,1353.0
Serbia,721918.0,15564.0,7114.0
Seychelles,18328.0,17538.0,79.0
Sierra Leone,6283.0,4270.0,120.0
Singapore,64981.0,62863.0,37.0
Slovakia,392647.0,255300.0,12540.0
Slovenia,259215.0,253742.0,4429.0
Solomon Islands,20.0,20.0,0.0
Somalia,15403.0,7533.0,811.0
South Africa,2447454.0,2222338.0,72013.0
South Sudan,11049.0,10514.0,119.0
Spain,4447044.0,150376.0,81486.0
Sri Lanka,308812.0,277118.0,4436.0
Sudan,37138.0,30647.0,2776.0
Summer Olympics 2020,246.0,0.0,0.0
Suriname,25351.0,21700.0,649.0
Sweden,1100040.0,0.0,14655.0
Switzerland,717665.0,317600.0,10793.0
Syria,25963.0,21987.0,1914.0
Taiwan,15674.0,12856.0,787.0
Tajikistan,15482.0,14556.0,122.0
Tanzania,1017.0,183.0,21.0
Thailand,597287.0,26873.0,4857.0
Timor-Leste,10898.0,9889.0,26.0
Togo,15798.0,14450.0,152.0
Trinidad and Tobago,38811.0,31783.0,1070.0
Tunisia,589565.0,510696.0,19686.0
Turkey,5727045.0,5454360.0,51332.0
United States of America,35052864.0,6298082.0,612948.0
Uganda,93927.0,83115.0,2690.0
Ukraine,2333409.0,2255695.0,55556.0
United Arab Emirates,680858.0,658198.0,1949.0
United Kingdom,5883421.0,20928.0,129949.0
Uruguay,381517.0,373481.0,5964.0
Uzbekistan,129327.0,123164.0,874.0
Vanuatu,4.0,3.0,1.0
Venezuela,305766.0,290181.0,3591.0
Vietnam,150060.0,38734.0,1306.0
West Bank and Gaza,316738.0,311832.0,3603.0
Yemen,7061.0,4185.0,1375.0
Zambia,195816.0,187236.0,3389.0
Zimbabwe,108860.0,75856.0,3532.0
Global Total,197952487.0,136049987.0,4220378.0
