Region,Confirmed,Recovered,Deceased
Afghanistan,152363.0,0.0,7043.0
Albania,137075.0,0.0,2471.0
Algeria,189384.0,0.0,4898.0
Andorra,14976.0,0.0,129.0
Angola,45175.0,0.0,1125.0
Antigua and Barbuda,1421.0,0.0,43.0
Argentina,5106207.0,0.0,109652.0
Armenia,235675.0,0.0,4716.0
Australia,41521.0,0.0,972.0
Austria,665993.0,0.0,13180.0
Azerbaijan,377304.0,0.0,5208.0
Bahamas,16668.0,0.0,313.0
Bahrain,271257.0,0.0,1385.0
Bangladesh,1440644.0,0.0,24719.0
Barbados,4594.0,0.0,48.0
Belarus,463855.0,0.0,3637.0
Belgium,1159366.0,31130.0,25305.0
Belize,15182.0,0.0,347.0
Benin,10183.0,0.0,119.0
Bhutan,2577.0,0.0,3.0
Bolivia,484446.0,0.0,18236.0
Bosnia and Herzegovina,208267.0,0.0,9718.0
Botswana,142380.0,0.0,2043.0
Brazil,20465725.0,0.0,571945.0
Brunei,946.0,0.0,3.0
Bulgaria,437327.0,0.0,18411.0
Burkina Faso,13680.0,0.0,171.0
Burma,363169.0,0.0,13786.0
Burundi,10198.0,0.0,38.0
Cabo Verde,34529.0,0.0,300.0
Cambodia,87190.0,0.0,1730.0
Cameroon,82454.0,0.0,1338.0
Canada,1464910.0,0.0,26762.0
Central African Republic,11251.0,0.0,99.0
Chad,4984.0,0.0,174.0
Chile,1630831.0,0.0,36456.0
China,117329.0,0.0,4848.0
Colombia,4877323.0,0.0,123781.0
Comoros,4039.0,0.0,147.0
Congo (Brazzaville),13398.0,0.0,179.0
Congo (Kinshasa),53620.0,0.0,1050.0
Costa Rica,436276.0,0.0,5284.0
Cote d'Ivoire,52836.0,0.0,369.0
Croatia,367933.0,0.0,8291.0
Cuba,545275.0,0.0,4240.0
Cyprus,111387.0,0.0,470.0
Czech Republic,1676817.0,0.0,30378.0
Denmark,335081.0,0.0,2564.0
Diamond Princess,712.0,0.0,13.0
Djibouti,11689.0,0.0,156.0
Dominica,953.0,0.0,0.0
Dominican Republic,346693.0,0.0,3989.0
Ecuador,496642.0,0.0,32036.0
Egypt,285700.0,0.0,16638.0
El Salvador,92135.0,0.0,2812.0
Equatorial Guinea,9010.0,0.0,123.0
Eritrea,6611.0,0.0,37.0
Estonia,137800.0,0.0,1281.0
Eswatini,38030.0,0.0,961.0
Ethiopia,291803.0,0.0,4505.0
Fiji,41830.0,0.0,413.0
Finland,120137.0,0.0,1032.0
France,6612028.0,0.0,113312.0
Gabon,25626.0,0.0,165.0
Gambia,9318.0,0.0,277.0
Georgia,496376.0,0.0,6532.0
Germany,3835375.0,0.0,91921.0
Ghana,112378.0,0.0,945.0
Greece,547186.0,0.0,13278.0
Grenada,188.0,0.0,1.0
Guatemala,422270.0,0.0,11273.0
Guinea,28308.0,0.0,299.0
Guinea-Bissau,5206.0,0.0,94.0
Guyana,23795.0,0.0,587.0
Haiti,20768.0,0.0,584.0
Vatican City,27.0,0.0,0.0
Honduras,323625.0,0.0,8527.0
Hungary,810658.0,0.0,30045.0
Iceland,9812.0,0.0,30.0
India,32322258.0,0.0,433049.0
Indonesia,3908247.0,0.0,121141.0
Iran,4556417.0,0.0,99691.0
Iraq,1801364.0,0.0,19886.0
Ireland,329388.0,0.0,5074.0
Israel,962193.0,0.0,6723.0
Italy,4456765.0,0.0,128579.0
Jamaica,59377.0,0.0,1339.0
Japan,1209082.0,0.0,15516.0
Jordan,786585.0,0.0,10252.0
Kazakhstan,782518.0,0.0,11725.0
Kenya,224400.0,0.0,4378.0
Kiribati,2.0,0.0,0.0
South Korea,230808.0,0.0,2191.0
Kosovo,120862.0,0.0,2295.0
Kuwait,407376.0,0.0,2397.0
Kyrgyzstan,172937.0,0.0,2462.0
Laos,11029.0,0.0,9.0
Latvia,140505.0,0.0,2566.0
Lebanon,586585.0,0.0,7993.0
Lesotho,14352.0,0.0,399.0
Liberia,5508.0,0.0,245.0
Libya,289219.0,0.0,3968.0
Liechtenstein,3308.0,0.0,58.0
Lithuania,291963.0,0.0,4459.0
Luxembourg,74855.0,0.0,829.0
MS Zaandam,9.0,0.0,2.0
Madagascar,42832.0,0.0,954.0
Malawi,58861.0,0.0,2012.0
Malaysia,1466512.0,0.0,13302.0
Maldives,79525.0,0.0,222.0
Mali,14714.0,0.0,535.0
Malta,35516.0,0.0,433.0
Marshall Islands,4.0,0.0,0.0
Mauritania,30897.0,0.0,653.0
Mauritius,6460.0,0.0,22.0
Mexico,3152205.0,0.0,250469.0
Micronesia,1.0,0.0,0.0
Moldova,263074.0,0.0,6328.0
Monaco,3099.0,0.0,33.0
Mongolia,186532.0,0.0,782.0
Montenegro,107576.0,0.0,1657.0
Morocco,782097.0,0.0,11345.0
Mozambique,140765.0,0.0,1761.0
Namibia,122885.0,0.0,3300.0
Nepal,739907.0,0.0,10396.0
Netherlands,1945033.0,0.0,18242.0
New Zealand,2937.0,0.0,28.0
Nicaragua,8496.0,0.0,198.0
Niger,5741.0,0.0,196.0
Nigeria,183444.0,0.0,2229.0
North Macedonia,164529.0,0.0,5589.0
Norway,146373.0,0.0,811.0
Oman,300728.0,0.0,4013.0
Pakistan,1113647.0,0.0,24713.0
Panama,449762.0,0.0,6981.0
Papua New Guinea,17832.0,0.0,192.0
Paraguay,457222.0,0.0,15492.0
Peru,2137295.0,0.0,197659.0
Philippines,1776495.0,0.0,30623.0
Poland,2885883.0,0.0,75307.0
Portugal,1009571.0,0.0,17601.0
Qatar,229915.0,0.0,601.0
Romania,1088594.0,0.0,34365.0
Russia,6572246.0,0.0,169948.0
Rwanda,81339.0,0.0,980.0
Saint Kitts and Nevis,708.0,0.0,3.0
Saint Lucia,6578.0,0.0,95.0
Saint Vincent and the Grenadines,2320.0,0.0,12.0
Samoa,3.0,0.0,0.0
San Marino,5244.0,0.0,90.0
Sao Tome and Principe,2496.0,0.0,37.0
Saudi Arabia,539129.0,0.0,8419.0
Senegal,71266.0,0.0,1636.0
Serbia,736313.0,15564.0,7183.0
Seychelles,19272.0,0.0,98.0
Sierra Leone,6346.0,0.0,121.0
Singapore,66334.0,0.0,46.0
Slovakia,777924.0,0.0,12547.0
Slovenia,262189.0,0.0,4436.0
Solomon Islands,20.0,0.0,0.0
Somalia,16535.0,0.0,897.0
South Africa,2638981.0,0.0,78377.0
South Sudan,11223.0,0.0,120.0
Spain,4745558.0,0.0,82883.0
Sri Lanka,369359.0,0.0,6604.0
Sudan,37616.0,0.0,2818.0
Summer Olympics 2020,575.0,0.0,0.0
Suriname,26916.0,0.0,692.0
Sweden,1114278.0,0.0,14662.0
Switzerland,747396.0,0.0,10821.0
Syria,26554.0,0.0,1947.0
Taiwan,15891.0,0.0,821.0
Tajikistan,16675.0,0.0,125.0
Tanzania,1367.0,0.0,50.0
Thailand,968957.0,0.0,8285.0
Timor-Leste,13155.0,0.0,40.0
Togo,18605.0,0.0,172.0
Trinidad and Tobago,42427.0,0.0,1200.0
Tunisia,632328.0,0.0,22304.0
Turkey,6138452.0,0.0,53675.0
United States of America,37361010.0,6298082.0,621347.0
Uganda,97294.0,0.0,2917.0
Ukraine,2359893.0,0.0,56297.0
United Arab Emirates,705089.0,0.0,2009.0
United Kingdom,6386034.0,0.0,158545.0
Uruguay,383645.0,0.0,6012.0
Uzbekistan,145615.0,0.0,994.0
Vanuatu,4.0,0.0,1.0
Venezuela,320922.0,0.0,3830.0
Vietnam,302101.0,0.0,6770.0
West Bank and Gaza,322620.0,0.0,3627.0
Yemen,7372.0,0.0,1411.0
Zambia,203169.0,0.0,3556.0
Zimbabwe,121498.0,0.0,4181.0
Global Total,209901422.0,6344776.0,4419901.0
